"","block_id","census_year","bar_pub_patron_limit","cafe_restaurant_seats_indoor","cafe_restaurant_seats_outdoor","dwelling_house_townhouse","dwelling_residential_apartments","dwelling_student_apartments","m2_commercial_accommodation","m2_common_area","m2_community_use","m2_educational_research","m2_entertainment_recreation_indoor","m2_equipment_installation","m2_hospital_clinic","m2_house_townhouse","m2_institutional_accommodation","m2_manufacturing","m2_office","m2_park_reserve","m2_parking_commercial_covered","m2_parking_commercial_uncovered","m2_parking_private_covered","m2_parking_private_uncovered","m2_performances_conferences_ceremonies","m2_private_outdoor_space","m2_public_display_area","m2_residential_apartment","m2_retail_cars","m2_retail_shop","m2_retail_showroom","m2_retail_stall","m2_sports_and_recreation_outdoor","m2_square_promenade","m2_storage","m2_student_accommodation","m2_transport","m2_transport_storage_uncovered","m2_unoccupied_under_construction","m2_unoccupied_under_demolition_condemned","m2_unoccupied_under_renovation","m2_unoccupied_undeveloped_site","m2_unoccupied_unused","m2_wholesale","m2_workshop_studio","parking_n_commercial","parking_n_private","parking_n_residential","services_accommodation_and_food","services_administrative_and_support","services_agriculture_forestry_and_fishing","services_arts_and_recreation","services_construction","services_education_and_training","services_electricity_gas_water_and_waste","services_financial_and_insurance","services_health_care_and_social_assistance","services_information_media_and_telecommunications","services_manufacturing","services_mining","services_other","services_professional_scientific_and_technical","services_public_administration_and_safety","services_rental_hiring_and_real_estate","services_retail_trade","services_transport_postal_and_warehousing","services_wholesale_trade","block_year"
"408",78,2013,1000,1038,301,0,0,0,0,50899,0,0,4865,4123,0,0,0,0,183862,0,0,0,34635,0,766,2509,0,0,0,1706,0,0,0,0,0,0,0,0,0,0,5001,0,0,0,0,176,828,0,24,2,0,1,0,0,0,9,2,1,1,0,6,2,15,5,6,0,0,"78_2013"
"409",78,2014,1000,1038,301,0,0,0,0,50899,0,0,4865,4123,0,0,0,0,174977,0,0,0,34635,0,766,2509,0,0,0,1706,0,0,0,0,0,0,0,0,0,0,5001,0,9523,0,0,176,828,0,24,2,0,1,0,0,0,9,2,1,1,0,6,2,14,5,6,0,0,"78_2014"
"410",78,2015,1000,954,243,0,0,0,0,50899,0,0,4773,4123,0,0,0,0,185839,0,0,0,34635,0,766,2509,0,0,0,1666,0,0,0,0,0,0,0,0,0,0,0,0,3794,0,0,176,828,0,23,2,0,1,0,0,0,7,2,1,1,0,5,2,17,4,6,0,0,"78_2015"
"411",78,2016,1000,954,243,0,0,0,0,50899,0,0,4773,4123,0,0,0,0,185839,0,0,0,34635,0,766,2509,0,0,0,1666,0,0,0,0,0,0,0,0,0,0,0,0,3794,0,0,176,828,0,23,2,0,1,0,0,0,7,2,1,1,0,5,2,17,4,6,0,0,"78_2016"
"412",78,2017,800,975,212,0,0,0,0,50899,0,0,4550,4123,0,0,0,0,158693,0,0,0,34635,0,0,2509,0,0,0,1384,0,0,0,0,0,0,0,0,0,0,2542,0,29245,0,0,126,828,0,23,1,0,1,1,0,0,6,2,1,1,0,4,0,14,3,5,0,0,"78_2017"
"413",78,2018,800,975,212,0,0,0,0,50899,0,0,4550,4123,0,0,0,0,158693,0,0,0,34635,0,0,2509,0,0,0,1384,0,0,0,0,0,0,0,0,0,0,2542,0,29245,0,0,126,828,0,23,1,0,1,1,0,0,6,2,1,1,0,4,0,14,3,5,0,0,"78_2018"
"414",78,2019,420,922,208,0,0,0,0,51284,0,0,4048,4123,0,0,0,0,184740,0,0,0,34596,0,0,2337,0,0,0,1319,0,0,0,0,0,0,0,0,20194,0,976,0,3865,0,0,148,804,0,22,1,0,1,1,0,0,6,2,1,1,0,4,0,18,2,5,0,0,"78_2019"
"415",81,2013,0,460,19,9,550,0,16258,24573,0,20984,1621,0,0,1656,0,0,1251,0,0,0,12309,0,0,5197,0,30119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,337,9,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,3,0,0,"81_2013"
"416",81,2014,0,460,19,9,550,0,16258,24573,0,20984,1621,0,0,1656,0,0,1251,0,0,0,12309,0,0,5197,0,30119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,337,9,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,3,0,0,"81_2014"
"417",81,2015,0,360,15,9,550,0,16258,24573,0,21224,1312,0,0,1656,0,0,1251,0,0,0,12309,0,0,5197,0,30119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,337,8,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,3,0,0,"81_2015"
"418",81,2016,0,360,15,9,550,0,16258,24573,0,21224,1312,0,0,1656,0,0,1251,0,0,0,12309,0,0,5197,0,30119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,337,8,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,3,0,0,"81_2016"
