"","block_year","development_key","year_completed","clue_block","street_address","resi_dwellings","studio_dwe","one_bdrm_dwe","two_bdrm_dwe","three_bdrm_dwe","student_apartments","student_beds","student_accommodation_units","car_spaces","bike_spaces","longitude","latitude","block_id","census_year","bar_pub_patron_limit","cafe_restaurant_seats_indoor","cafe_restaurant_seats_outdoor","dwelling_house_townhouse","dwelling_residential_apartments","dwelling_student_apartments","m2_commercial_accommodation","m2_common_area","m2_community_use","m2_educational_research","m2_entertainment_recreation_indoor","m2_equipment_installation","m2_hospital_clinic","m2_house_townhouse","m2_institutional_accommodation","m2_manufacturing","m2_office","m2_park_reserve","m2_parking_commercial_covered","m2_parking_commercial_uncovered","m2_parking_private_covered","m2_parking_private_uncovered","m2_performances_conferences_ceremonies","m2_private_outdoor_space","m2_public_display_area","m2_residential_apartment","m2_retail_cars","m2_retail_shop","m2_retail_showroom","m2_retail_stall","m2_sports_and_recreation_outdoor","m2_square_promenade","m2_storage","m2_student_accommodation","m2_transport","m2_transport_storage_uncovered","m2_unoccupied_under_construction","m2_unoccupied_under_demolition_condemned","m2_unoccupied_under_renovation","m2_unoccupied_undeveloped_site","m2_unoccupied_unused","m2_wholesale","m2_workshop_studio","parking_n_commercial","parking_n_private","parking_n_residential","services_accommodation_and_food","services_administrative_and_support","services_agriculture_forestry_and_fishing","services_arts_and_recreation","services_construction","services_education_and_training","services_electricity_gas_water_and_waste","services_financial_and_insurance","services_health_care_and_social_assistance","services_information_media_and_telecommunications","services_manufacturing","services_mining","services_other","services_professional_scientific_and_technical","services_public_administration_and_safety","services_rental_hiring_and_real_estate","services_retail_trade","services_transport_postal_and_warehousing","services_wholesale_trade"
"414","1109_2011","X001105",2011,1109,"Harbour One Apartments 2-10 Marmion Place DOCKLANDS VIC 3008",319,0,0,0,0,0,0,0,348,0,144.9421786,-37.8134273,1109,2011,850,2843,1295,0,971,0,1111,38440,0,0,12873,1401,315,0,0,0,13732,0,9912,17740,36109,0,0,715,0,99002,0,1493,929,0,0,24019,0,0,0,0,0,0,0,100408,9495,0,0,838,30,1375,38,12,1,2,5,0,1,12,3,6,3,1,10,40,3,13,11,7,3
"415","1109_2014","X001108",2014,1109,"231-245 Harbour Esplanade DOCKLANDS VIC 3008",275,0,0,0,0,0,0,0,0,0,144.943,-37.81356166,1109,2014,1380,2978,920,40,1398,0,19643,55841,0,475,9970,816,0,12767,0,0,16731,0,9912,12997,46891,0,0,2674,0,123704,0,2994,0,0,0,27072,0,0,0,0,47689,0,563,90262,10208,0,0,713,30,1768,36,15,0,6,5,3,0,10,5,4,3,0,16,47,1,17,18,10,9
"416","1109_2014","X001109",2014,1109,"231-245 Harbour Esplanade DOCKLANDS VIC 3008",248,0,0,0,0,0,0,0,535,0,144.943,-37.81356166,1109,2014,1380,2978,920,40,1398,0,19643,55841,0,475,9970,816,0,12767,0,0,16731,0,9912,12997,46891,0,0,2674,0,123704,0,2994,0,0,0,27072,0,0,0,0,47689,0,563,90262,10208,0,0,713,30,1768,36,15,0,6,5,3,0,10,5,4,3,0,16,47,1,17,18,10,9
"417","773_2010","X000779",2010,773,"2 Stokehold Mews DOCKLANDS VIC 3008",33,0,0,0,0,0,0,0,0,0,144.9373575,-37.82287721,773,2010,0,302,188,0,756,0,0,36496,0,0,796,0,0,0,0,0,3353,0,0,0,42427,0,0,3858,0,114806,0,0,0,0,0,0,0,0,0,16296,0,0,0,0,1328,0,0,0,74,1099,5,3,0,3,2,0,0,0,0,0,0,1,1,3,0,2,2,4,0
"418","773_2011","X000780",2011,773,"40 South Wharf Drive DOCKLANDS VIC 3008",15,0,0,0,0,0,0,0,0,0,144.9389059,-37.82256398,773,2011,0,302,188,0,756,0,0,36496,0,0,796,0,0,0,0,0,3353,0,0,0,42427,0,0,3858,0,114806,0,0,0,0,0,0,0,0,0,16296,0,0,0,0,1328,0,0,0,74,1099,5,3,0,3,2,0,0,0,0,0,0,1,1,3,0,2,2,4,0
"419","1105_2014","X001045",2014,1105,"717-731 Collins Street DOCKLANDS VIC 3008",0,0,0,0,0,0,0,0,67,0,144.9500804,-37.82070761,1105,2014,75,1859,476,0,189,0,10575,79720,0,0,6332,21947,0,0,0,0,229911,0,34681,0,31173,0,0,3252,0,16114,0,1580,0,0,0,0,1118,0,0,0,0,0,0,0,23137,0,0,995,578,189,32,4,0,2,1,0,0,6,4,4,1,1,3,10,3,2,1,2,2
"420","1105_2012","X001049",2012,1105,"733-747 Collins Street DOCKLANDS VIC 3008",0,0,0,0,0,0,0,0,92,0,144.9494199,-37.82095115,1105,2012,0,1338,290,0,189,0,10575,52234,0,0,3573,16522,0,0,0,0,151291,0,34749,0,19660,0,0,1906,0,16114,0,0,0,0,0,0,0,0,0,0,62482,0,0,0,6663,0,0,995,444,189,11,2,0,1,2,0,0,4,3,2,0,1,3,6,4,1,1,0,2
"421","1108_2012","X001067",2012,1108,"807-811 Bourke Street DOCKLANDS VIC 3008",23,0,7,16,0,0,0,0,8,29,144.9450623,-37.81970418,1108,2012,690,2467,1256,0,430,0,0,86674,0,7998,7593,10534,345,0,0,0,191057,30350,11558,0,49986,0,0,76756,0,47615,0,5421,0,0,0,35560,6953,0,0,0,82694,0,1504,35808,2808,0,0,520,1436,426,34,5,0,8,2,2,2,7,5,2,2,0,9,2,1,4,6,4,1
"422","1102_2012","X001020",2012,1102,"990 La Trobe Street DOCKLANDS VIC 3008",0,0,0,0,0,0,0,0,64,0,144.946739,-37.81382669,1102,2012,0,138,52,0,0,0,978,8933,0,0,268,0,0,0,0,0,26702,0,0,0,2647,0,0,6654,0,0,0,147,0,0,0,0,0,0,0,0,23952,0,0,0,463,0,0,300,492,0,5,2,0,0,1,1,0,0,1,6,2,0,5,31,0,5,1,4,0
"423","1108_2012","X001098",2012,1108,"840-850 Collins Street DOCKLANDS VIC 3008",0,0,0,0,0,0,0,0,22,0,144.9445448,-37.82094899,1108,2012,690,2467,1256,0,430,0,0,86674,0,7998,7593,10534,345,0,0,0,191057,30350,11558,0,49986,0,0,76756,0,47615,0,5421,0,0,0,35560,6953,0,0,0,82694,0,1504,35808,2808,0,0,520,1436,426,34,5,0,8,2,2,2,7,5,2,2,0,9,2,1,4,6,4,1
"424","773_2014","X000772",2014,773,"118-122 Lorimer Street DOCKLANDS VIC 3008",0,0,0,0,0,0,0,0,9,0,144.9406394,-37.8230168,773,2014,0,335,196,82,957,0,0,47102,0,0,1043,0,0,33316,0,0,3158,0,0,0,57148,0,0,4559,0,130236,0,0,0,0,0,0,0,0,0,0,25100,0,0,0,1756,0,0,300,7,1512,5,2,0,2,1,0,1,0,0,0,0,1,5,2,0,4,1,2,2
"425","1109_2011","X001103",2011,1109,"136 Newquay Promenade DOCKLANDS VIC 3008",18,0,0,0,0,0,0,0,0,0,144.9375459,-37.81635193,1109,2011,850,2843,1295,0,971,0,1111,38440,0,0,12873,1401,315,0,0,0,13732,0,9912,17740,36109,0,0,715,0,99002,0,1493,929,0,0,24019,0,0,0,0,0,0,0,100408,9495,0,0,838,30,1375,38,12,1,2,5,0,1,12,3,6,3,1,10,40,3,13,11,7,3
